=== Gemini results ===
seed                well_formed  status           new_edges  total_edges
gemini_b01_c00.xml  True         BAD (redundant)  0          1076
gemini_b01_c01.xml  True         BAD (redundant)  0          958
gemini_b01_c02.xml  False        BAD (redundant)  0          993
gemini_b02_c00.xml  True         BAD (redundant)  0          1076
gemini_b02_c01.xml  True         BAD (redundant)  0          961
gemini_b02_c02.xml  True         BAD (redundant)  0          1105
gemini_b03_c00.xml  True         BAD (redundant)  0          1076
gemini_b03_c01.xml  False        BAD (redundant)  0          834
gemini_b03_c02.xml  True         BAD (redundant)  0          953
gemini_b04_c00.xml  True         BAD (redundant)  0          1076
gemini_b04_c01.xml  True         BAD (redundant)  0          957
gemini_b04_c02.xml  True         BAD (redundant)  0          1045
gemini_b05_c00.xml  False        BAD (redundant)  0          1525
gemini_b05_c01.xml  False        BAD (redundant)  0          994
gemini_b05_c02.xml  True         BAD (redundant)  0          1198
gemini_b06_c00.xml  True         BAD (redundant)  0          1076
gemini_b06_c01.xml  True         BAD (redundant)  0          957
gemini_b06_c02.xml  True         BAD (redundant)  0          1234
gemini_b07_c00.xml  False        BAD (redundant)  0          1254
gemini_b07_c01.xml  False        BAD (redundant)  0          1300
gemini_b07_c02.xml  True         BAD (redundant)  0          1152
gemini_b08_c00.xml  True         BAD (redundant)  0          1076
gemini_b08_c01.xml  False        BAD (redundant)  0          835
gemini_b08_c02.xml  True         BAD (redundant)  0          1294
gemini_b09_c00.xml  True         BAD (redundant)  0          1076
gemini_b09_c01.xml  True         BAD (redundant)  0          959
gemini_b09_c02.xml  True         BAD (redundant)  0          953
gemini_b10_c00.xml  True         BAD (redundant)  0          1076
gemini_b10_c01.xml  True         BAD (redundant)  0          957
gemini_b10_c02.xml  True         BAD (redundant)  0          1297

=== Gemini status breakdown ===
     30 BAD (redundant)

=== Claude results ===
seed                                        well_formed  status                 new_edges  total_edges
b01_c00_entity-chain-charrefs.xml           True         BAD (redundant)        0          1282
b01_c01_entity-of-entity-deep.xml           True         BAD (redundant)        0          1228
b01_c02_surrogate-pair-charrefs.xml         True         BAD (redundant)        0          1210
b02_c00_multi-cdata.xml                     True         BAD (redundant)        0          788
b02_c01_cdata-adjacent-text.xml             True         BAD (redundant)        0          861
b02_c02_cdata-near-boundary.xml             True         BAD (redundant)        0          801
b03_c00_default-and-prefixed-ns.xml         True         BAD (redundant)        0          953
b03_c01_ns-redeclared-in-child.xml          True         BAD (redundant)        0          913
b03_c02_ns-on-attribute-only.xml            True         BAD (redundant)        0          928
b04_c00_multi-pi-before-root.xml            True         BAD (redundant)        0          824
b04_c01_pi-target-variety.xml               True         BAD (redundant)        0          813
b04_c02_pi-empty-data.xml                   True         BAD (redundant)        0          798
b05_c00_comment-before-doctype.xml          True         BAD (redundant)        0          962
b05_c01_comment-heavy-mixed-content.xml     True         BAD (redundant)        0          797
b05_c02_comment-with-markup-lookalike.xml   True         BAD (redundant)        0          817
b06_c00_id-idref-graph.xml                  True         GOOD (novel coverage)  26         1237
b06_c01_enumerated-and-fixed-attrs.xml      True         BAD (redundant)        0          1316
b06_c02_nmtokens-required-implied-mix.xml   True         BAD (redundant)        0          1297
b07_c00_mixed-content-model.xml             True         BAD (redundant)        0          961
b07_c01_choice-and-sequence-groups.xml      True         BAD (redundant)        0          999
b07_c02_empty-and-any-elements.xml          True         BAD (redundant)        0          932
b08_c00_notation-and-ndata-entity.xml       True         BAD (redundant)        0          1320
b08_c01_multiple-notations.xml              True         BAD (redundant)        0          1341
b08_c02_entities-attr-type.xml              True         BAD (redundant)        0          1315
b09_c00_deep-nesting.xml                    True         BAD (redundant)        0          794
b09_c01_high-attribute-count.xml            True         BAD (redundant)        0          887
b09_c02_whitespace-and-xmlspace.xml         True         BAD (redundant)        0          828
b10_c00_ns-plus-dtd-plus-cdata.xml          True         BAD (redundant)        0          1200
b10_c01_pi-comment-entity-triple-combo.xml  True         BAD (redundant)        0          1262
b10_c02_attlist-ns-mixedcontent-combo.xml   True         BAD (redundant)        0          1391

=== Claude status breakdown ===
     29 BAD (redundant)
      1 GOOD (novel coverage)
