seed,well_formed,status,new_edges,total_edges
gemini_b01_c00.xml,True,BAD (redundant),0,1076
gemini_b01_c01.xml,True,BAD (redundant),0,958
gemini_b01_c02.xml,False,BAD (redundant),0,993
gemini_b02_c00.xml,True,BAD (redundant),0,1076
gemini_b02_c01.xml,True,BAD (redundant),0,961
gemini_b02_c02.xml,True,BAD (redundant),0,1105
gemini_b03_c00.xml,True,BAD (redundant),0,1076
gemini_b03_c01.xml,False,BAD (redundant),0,834
gemini_b03_c02.xml,True,BAD (redundant),0,953
gemini_b04_c00.xml,True,BAD (redundant),0,1076
gemini_b04_c01.xml,True,BAD (redundant),0,957
gemini_b04_c02.xml,True,BAD (redundant),0,1045
gemini_b05_c00.xml,False,BAD (redundant),0,1525
gemini_b05_c01.xml,False,BAD (redundant),0,994
gemini_b05_c02.xml,True,BAD (redundant),0,1198
gemini_b06_c00.xml,True,BAD (redundant),0,1076
gemini_b06_c01.xml,True,BAD (redundant),0,957
gemini_b06_c02.xml,True,BAD (redundant),0,1234
gemini_b07_c00.xml,False,BAD (redundant),0,1254
gemini_b07_c01.xml,False,BAD (redundant),0,1300
gemini_b07_c02.xml,True,BAD (redundant),0,1152
gemini_b08_c00.xml,True,BAD (redundant),0,1076
gemini_b08_c01.xml,False,BAD (redundant),0,835
gemini_b08_c02.xml,True,BAD (redundant),0,1294
gemini_b09_c00.xml,True,BAD (redundant),0,1076
gemini_b09_c01.xml,True,BAD (redundant),0,959
gemini_b09_c02.xml,True,BAD (redundant),0,953
gemini_b10_c00.xml,True,BAD (redundant),0,1076
gemini_b10_c01.xml,True,BAD (redundant),0,957
gemini_b10_c02.xml,True,BAD (redundant),0,1297
